YSN	 UniProtID	 Name	 Gene Names
YJL174W	P39005	Cell wall synthesis protein KRE9 (Killer toxin resistant protein 9)	KRE9, YJL174W, J0504
YPL007C	Q12308	Transcription factor tau 60 kDa subunit (TFIIIC 60 kDa subunit) (Transcription factor C subunit 8)	TFC8, YPL007C
YLR307W	Q06702	Chitin deacetylase 1 (EC 3.5.1.41)	CDA1, YLR307W, L2142.2
YOL040C	Q01855	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein) (RP52) (S21) (YS21)	RPS15, RPS21, YOL040C
YGL082W	P53155	Uncharacterized protein YGL082W	YGL082W
YDR221W	Q04924	Glucosidase 2 subunit beta (Alpha-glucosidase 2 subunit beta) (Alpha-glucosidase II subunit beta) (Glucosidase II subunit beta)	GTB1, YDR221W
YEL070W	P0CX08	Mannitol dehydrogenase DSF1 (EC 1.1.1.67) (Deletion suppressor of MPT5 mutation protein 1)	DSF1, MAN1, YEL070W
YPL070W	Q02866	Protein MUK1	MUK1, YPL070W
YHR172W	P38863	Spindle pole body component SPC97	SPC97, YHR172W
YMR212C	Q03653	Protein EFR3	EFR3, YMR212C, YM8261.06C
YHR005C-A	P87108	Mitochondrial import inner membrane translocase subunit TIM10 (Mitochondrial intermembrane protein MRS11)	TIM10, MRS11, YHR005C-A, YHR005BC
YLR134W	P16467	Pyruvate decarboxylase isozyme 2 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC5, YLR134W, L3133, L9606.7
YBR213W	P15807	Siroheme biosynthesis protein MET8 [Includes: Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	MET8, YBR213W, YBR1461
YBR176W	P38122	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Extracellular matrix protein 31) (Ketopantoate hydroxymethyltransferase)	ECM31, YBR176W, YBR1238
YJR117W	P47154	CAAX prenyl protease 1 (EC 3.4.24.84) (A-factor-converting enzyme) (Prenyl protein-specific endoprotease 1) (PPSEP 1)	STE24, AFC1, YJR117W, J2032
YKL050C	P35736	Uncharacterized protein YKL050C	YKL050C, YKL263, YKL301
YBR037C	P23833	Protein SCO1, mitochondrial	SCO1, YBR037C, YBR0406
YDR408C	P04161	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	ADE8, YDR408C, D9509.26
YER009W	P33331	Nuclear transport factor 2 (NTF-2) (Nuclear transport factor P10)	NTF2, YER009W
YOR107W	Q99188	Regulator of G-protein signaling 2	RGS2, YOR107W, YOR3224w
YGL032C	P32781	A-agglutinin-binding subunit	AGA2, YGL032C
YNR008W	P40345	Phospholipid:diacylglycerol acyltransferase (PDAT) (EC 2.3.1.158) (LCAT-related open reading frame 1) (Lecithin cholesterol acyl transferase-related open reading frame 1) (Triacylglycerol synthase) (TAG synthase)	LRO1, YNR008W, N2042
YJL024C	P47064	AP-3 complex subunit sigma (AP-3 complex sigma3A subunit) (Adaptor-related protein complex 3 subunit sigma) (Clathrin-associated/assembly/adaptor protein, small 3) (Sigma-adaptin 3A) (Sigma3-adaptin)	APS3, YKS7, YJL024C, J1274
YBR198C	P38129	Transcription initiation factor TFIID subunit 5 (TAFII-90) (TBP-associated factor 5) (TBP-associated factor 90 kDa)	TAF5, TAF90, YBR198C, YBR1410
YJR078W	P47125	Indoleamine 2,3-dioxygenase (IDO) (EC 1.13.11.52) (Biosynthesis of nicotinic acid protein 2)	BNA2, YJR078W, J1840
YNL003C	P38921	Putative mitochondrial carrier protein PET8	PET8, YNL003C, N2012
YDL019C	Q12451	Oxysterol-binding protein homolog 2 (Oxysterol-binding protein-related protein 2) (ORP 2) (OSBP-related protein 2)	OSH2, YDL019C, D2845
YJL080C	P06105	Protein SCP160 (Protein HX)	SCP160, HX, YJL080C, J1017
YLL049W	Q07887	Protein LDB18 (Low dye-binding protein 18)	LDB18, YLL049W
YER015W	P39518	Long-chain-fatty-acid--CoA ligase 2 (EC 6.2.1.3) (Fatty acid activator 2) (Long-chain acyl-CoA synthetase 2)	FAA2, FAM1, YER015W
YGR163W	P53290	GTP-binding protein GTR2 (EC 3.6.5.-)	GTR2, YGR163W
YPL193W	Q08932	Ribosome assembly 1 protein	RSA1, YPL193W
YGR274C	P46677	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (TAFII-130) (TAFII-145) (TBP-associated factor 1) (TBP-associated factor 145 kDa)	TAF1, TAF130, TAF145, YGR274C, G9374
YLR146W-A	Q2V2P1	Coiled-coil domain-containing protein YLR146W-A	YLR146W-A
YIL095W	P40494	Actin-regulating kinase PRK1 (EC 2.7.11.1) (p53-regulating kinase 1)	PRK1, PAK1, YIL095W
YLL026W	P31539	Heat shock protein 104 (Protein aggregation-remodeling factor HSP104)	HSP104, YLL026W, L0948
YDL089W	Q12066	Nuclear rim protein 1	NUR1, YDL089W, D2416
YKR058W	P36143	Glycogenin-1 (EC 2.4.1.186) (Glycogen synthesis initiator protein 1) (Glycogenin glucosyltransferase 1)	GLG1, YKR058W
YPL208W	Q08961	Ribosomal lysine N-methyltransferase 1 (EC 2.1.1.-)	RKM1, YPL208W
YKL006C-A	P43682	Protein transport protein SFT1 (P14)	SFT1, YKL006C-A, YKL006BC
YGR172C	P53039	Protein transport protein YIP1 (YPT-interacting protein 1)	YIP1, YGR172C
YCL011C	P25555	Serine/arginine (SR)-type shuttling mRNA binding protein GBP2 (Polyadenylate-binding protein GBP2) (RAP1 localization factor 6) (Single-strand telomeric DNA-binding protein GBP2) (G-strand-binding protein 2)	GBP2, RLF6, YCL011C, YCL11C
YNR018W	P53721	Respiratory supercomplex factor 2, mitochondrial (Altered inheritance of mitochondria protein 38)	RCF2, AIM38, YNR018W, N3185
YDR160W	Q03770	SPS-sensor component SSY1 (Amino-acid permease homolog SSY1)	SSY1, APF7, SHR10, YDR160W, YD8358.14
YKL191W	P32461	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 (Diphthamide biosynthesis protein 2) (Diphtheria toxin resistance protein 2) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 2)	DPH2, YKL191W
YHR148W	P32899	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (Interacting with MPP10 protein 3)	IMP3, YHR148W
YNL297C	P48563	Protein MON2	MON2, YSL2, YNL297C, N0453
YEL015W	P39998	Enhancer of mRNA-decapping protein 3	EDC3, LSM16, YEL015W
YPL167C	P14284	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3)	REV3, PSO1, YPL167C, P2535
YLR226W	Q05949	Protein BUR2 (Bypass UAS requirement protein 2) (Chromosome stability protein 4)	BUR2, CST4, YLR226W
YNL072W	P53942	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (RNase H(201)) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	RNH201, RNH35, YNL072W, N2369
YER141W	P40086	Heme A synthase COX15 (HAS) (EC 1.17.99.9) (Cytochrome c oxidase assembly protein COX15)	COX15, YER141W
YIR037W	P40581	Glutathione peroxidase-like peroxiredoxin HYR1 (EC 1.11.1.24) (Glutathione peroxidase homolog 3) (GPx 3) (Hydrogen peroxide resistance protein 1) (Oxidant receptor peroxidase 1) (Phospholipid hydroperoxide glutathione peroxidase 3) (PHGPx3)	HYR1, GPX3, ORP1, YIR037W
YBL042C	P38196	Uridine permease	FUI1, YBL042C, YBL0406
YOR216C	Q12234	GRIP domain-containing protein RUD3 (Golgin-related protein 1) (Relieves USO1-1 transport defect protein 3)	RUD3, GRP1, YOR216C, YOR50-6
YMR018W	Q04364	Peroxisomal targeting signal receptor 9 (PTS1 receptor 9) (PTS1R 9) (Peroxin-9)	PEX9, YMR018W, YM9711.06
YOR136W	P28241	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)	IDH2, YOR136W, O3326, YOR3326W
YDL173W	Q12515	Protein PAR32 (Protein phosphorylated after rapamycin 32)	PAR32, YDL173W
YBL063W	P28742	Kinesin-like protein KIP1 (Chromosome instability protein 9)	KIP1, CIN9, YBL063W, YBL0504, YBL0521
YDR236C	Q03778	Riboflavin kinase (EC 2.7.1.26) (Flavin mononucleotide kinase 1)	FMN1, YDR236C, YD8419.03C
YPR112C	Q06106	Multiple RNA-binding domain-containing protein 1	MRD1, YPR112C
YOR076C	Q08491	Superkiller protein 7	SKI7, YOR076C, YOR29-27
YGR058W	P53238	Peflin (Penta-EF hand domain-containing protein 1)	PEF1, YGR058W
YOR052C	Q08422	AN1-type zinc finger protein TMC1 (Trivalent metalloid-sensitive Cuz1-related protein 1)	TMC1, YOR052C, YOR29-03
YDR533C	Q04432	Glutathione-independent glyoxalase HSP31 (EC 4.2.1.130) (Glyoxalase 3 homolog 1) (Heat shock protein 31)	HSP31, YDR533C, D9719.36
YJR002W	P47083	U3 small nucleolar RNA-associated protein MPP10 (U3 snoRNA-associated protein MPP10) (M phase phosphoprotein 10)	MPP10, YJR002W, J1411, YJR83.5
YDL076C	Q07458	Transcriptional regulatory protein RXT3	RXT3, YDL076C
YOL107W	Q12239	Transmembrane protein 115 homolog	YOL107W
YIL051C	P40185	Protein MMF1, mitochondrial (Isoleucine biosynthesis and maintenance of intact mitochondria 1) (Maintenance of mitochondrial function 1)	MMF1, IBM1, YIL051C
YOL088C	Q99316	Protein disulfide isomerase MPD2 (EC 5.3.4.1)	MPD2, YOL088C, O0941
YHR191C	P38877	Chromosome transmission fidelity protein 8	CTF8, YHR191C
YDR022C	Q12421	Autophagy-related protein 31 (CIK1 suppressor protein 1) (Protein CIS1)	ATG31, CIS1, YDR022C, PZD196, YD9335.08c
YGR279C	P53334	Probable family 17 glucosidase SCW4 (EC 3.2.1.-) (Soluble cell wall protein 4)	SCW4, YGR279C
YFL046W	P43557	Protein FMP32, mitochondrial (Found in mitochondrial proteome protein 32)	FMP32, YFL046W
YBR138C	P38277	Uncharacterized protein YBR138C	YBR138C, YBR1014
YNL122C	P53921	Large ribosomal subunit protein bL35m (54S ribosomal protein MRP35)	MRP35, YNL122C, N1901
YMR092C	P46680	Actin-interacting protein 1	AIP1, YMR092C, YM9582.17C
YJL076W	P47035	Nucleolar protein NET1	NET1, CFI1, ESC5, SRM8, YJL076W, J1038
YOL133W	Q08273	RING-box protein HRT1 (RING-box protein 1) (E3 ubiquitin-protein ligase complex SCF subunit HRT1) (High level expression reduces Ty3 transposition protein 1) (Regulator of cullins protein 1)	HRT1, RBX1, ROC1, YOL133W
YAL047C	P39723	Gamma tubulin complex adapter SPC72	SPC72, LDB4, SPI6, YAL047C, FUN42
YOR181W	Q12446	Proline-rich protein LAS17	LAS17, YOR181W
YOL152W	Q12333	Ferric/cupric reductase transmembrane component 7 (EC 1.16.1.9) (Ferric-chelate reductase 7)	FRE7, YOL152W, AOB629
YDR440W	Q04089	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (Disrupter of telomere silencing protein 1) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)	DOT1, KMT4, PCH1, YDR440W, D9461.26
YOR064C	Q08465	Protein YNG1 (ING1 homolog 1)	YNG1, YOR064C, YOR29-15
YMR261C	P38426	Trehalose synthase complex regulatory subunit TPS3 (Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 115 kDa subunit)	TPS3, YMR261C, YM8156.03C
YAR042W	P35845	Oxysterol-binding protein homolog 1 (Oxysterol-binding protein-related protein 1) (ORP 1) (OSBP-related protein 1)	SWH1, OSH1, YAR042W, YAR044W
YDL097C	Q12377	26S proteasome regulatory subunit RPN6 (Proteasome non-ATPase subunit 4)	RPN6, NAS4, YDL097C, D2381
YPL213W	Q08963	U2 small nuclear ribonucleoprotein A' (U2 snRNP A') (Looks exceptionally like U2A protein 1)	LEA1, YPL213W
YLR114C	Q12500	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)	AVL9, YLR114C, L2941
YMR172W	Q03213	High-osmolarity-induced transcription protein 1	HOT1, YMR172W, YM8010.02
YJL041W	P14907	Nucleoporin NSP1 (Nuclear pore protein NSP1) (Nucleoskeletal-like protein) (p110)	NSP1, YJL041W, J1207
YGR167W	P17891	Clathrin light chain (CLC)	CLC1, YGR167W
YFL020C	P43575	Seripauperin-5	PAU5, YFL020C
YGR239C	P50091	Peroxisomal protein PEX21 (Peroxin-21)	PEX21, YGR239C, G8593
YCR030C	P25623	Suppressor of yeast profilin deletion	SYP1, YCR030C, YCR30C/YCR29C
YNR062C	P53748	Uncharacterized membrane protein YNR062C	YNR062C, N3527
YHR103W	P38814	Protein SBE22	SBE22, YHR103W
YGR116W	P23615	Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)	SPT6, CRE2, SSN20, YGR116W, G6169
YGR152C	P13856	Ras-related protein RSR1 (EC 3.6.5.2)	RSR1, BUD1, YGR152C, G6658
YOR356W	Q08822	Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Changed intracellular redox state protein 2) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)	CIR2, YOR356W
YCL067C	P0CY09	Silenced mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	HMLALPHA2, YCL067C, YCL67C
YNL049C	P53953	SED5-binding protein 2 (SEC24-related protein 2)	SFB2, ISS1, YNL049C, N2505, YNL2505C
YFR024C-A	P43603	LAS seventeen-binding protein 3 (LAS17-binding protein 3)	LSB3, YFR024C-A, YFR024C
YIL079C	P40507	Protein AIR1 (Arginine methyltransferase-interacting RING finger protein 1)	AIR1, YIL079C
YCL043C	P17967	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Thioredoxin-related glycoprotein 1)	PDI1, MFP1, TRG1, YCL043C, YCL313, YCL43C
YJR130C	P47164	Cystathionine gamma-synthase (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase) (Sulfur transfer protein 2)	STR2, YJR130C, J2063
YPR133W-A	P80967	Mitochondrial import receptor subunit TOM5 (Translocase of outer membrane 5 kDa subunit)	TOM5, MOM8A, YPR133W-A
YFR055W	P43623	Putative cystathionine beta-lyase (CBL) (EC 4.4.1.13) (Beta-cystathionase) (Cysteine lyase) (Cysteine-S-conjugate beta-lyase) (Increased recombination centers protein 7)	IRC7, YFR055W
YNL250W	P12753	DNA repair protein RAD50 (EC 3.6.-.-) (153 kDa protein)	RAD50, YNL250W, N0872
YDR393W	Q04172	Sensitive to high expression protein 9, mitochondrial (Mitochondrial distribution and morphology protein 33)	SHE9, MDM33, YDR393W, D9509.13
YBR259W	P38338	Uncharacterized protein YBR259W	YBR259W, YBR1727
YOL136C	Q12471	6-phosphofructo-2-kinase 2 (6PF-2-K 2) (EC 2.7.1.105) (Phosphofructokinase 2 II)	PFK27, YOL136C
YMR183C	P39926	Protein SSO2	SSO2, YMR183C, YM8010.13C
YIL049W	P40526	Polyprenol reductase (EC 1.3.1.94) (Protein DFG10)	DFG10, YIL049W
YKL135C	P36000	AP-1 complex subunit beta-1 (Beta-1-adaptin) (Clathrin assembly protein complex 1 beta-1 large chain) (Clathrin assembly protein large beta-1 chain)	APL2, YKL135C
YNL138W	P17555	Adenylyl cyclase-associated protein (CAP)	SRV2, CAP1, YNL138W, N1210, N1838
YHR056C	P38781	Chromatin structure-remodeling complex protein RSC30 (Remodel the structure of chromatin complex subunit 30)	RSC30, YHR056C
YGL048C	Q01939	26S proteasome regulatory subunit 8 homolog (Protein CIM3) (Protein SUG1) (Tat-binding protein TBY1)	RPT6, CIM3, CRL3, SUG1, TBPY, TBY1, YGL048C
YGR056W	P53236	Chromatin structure-remodeling complex subunit RSC1 (RSC complex subunit RSC1) (Remodel the structure of chromatin complex subunit 1)	RSC1, YGR056W
YBR015C	P38069	Alpha-1,2-mannosyltransferase MNN2 (EC 2.4.1.-) (Calcium resistance and vanadate sensitivity protein 4) (Mannan synthesis protein MNN2)	MNN2, CRV4, LDB8, TTP1, YBR015C, YBR0220
YMR288W	P49955	U2 snRNP component HSH155	HSH155, YMR288W, YM8021.14
YKL084W	P36078	Helper of Tim protein 13	HOT13, YKL084W
YDR476C	Q03362	Uncharacterized protein YDR476C	YDR476C
YJL059W	P47040	Protein BTN1	YHC3, BTN1, YJL059W, J1139
YBL103C	P38165	Retrograde regulation protein 3	RTG3, YBL103C, YBL0810
YDR354W	P07285	Anthranilate phosphoribosyltransferase (PRtransferase) (EC 2.4.2.18)	TRP4, YDR354W, D9476.4
YLR205C	P32339	Heme-binding protein HMX1	HMX1, YLR205C, L8167.18
YPR194C	Q06593	Oligopeptide transporter 2	OPT2, YPR194C, P9677.13
YNR031C	P53599	MAP kinase kinase kinase SSK2 (EC 2.7.11.25) (Suppressor of sensor kinase 2)	SSK2, YNR031C, N3276
YMR206W	Q03695	Uncharacterized protein YMR206W	YMR206W, YM8325.07
YJR058C	Q00381	AP-2 complex subunit sigma (Adaptin small chain) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	APS2, YAP17, YJR058C, J1720
YOR043W	P12611	Growth regulation protein	WHI2, YOR043W
YPR178W	P20053	U4/U6 small nuclear ribonucleoprotein PRP4 (Pre-mRNA-processing protein 4)	PRP4, RNA4, YPR178W, P9705.6
YDR121W	Q04603	DNA polymerase epsilon subunit D (DNA polymerase II subunit D)	DPB4, YDR121W
YDR369C	P33301	DNA repair protein XRS2	XRS2, YDR369C, D9481.13
YEL009C	P03069	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	GCN4, AAS101, AAS3, ARG9, YEL009C
YKR070W	P36151	Mitochondrial hydrolase YKR070W (EC 3.-.-.-)	YKR070W
YER087W	P39965	Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Altered inheritance rate of mitochondria protein 10) (Prolyl-tRNA synthetase) (ProRS)	AIM10, YER087W
YMR024W	P36516	Large ribosomal subunit protein mL44 (54S ribosomal protein L3, mitochondrial) (YmL3)	MRPL3, YMR024W, YM9711.14
YGL237C	P06774	Transcriptional activator HAP2	HAP2, YGL237C
YMR122W-A	Q3E842	Uncharacterized endoplasmic reticulum membrane protein YMR122W-A	YMR122W-A
YLL006W	P41800	Maintenance of mitochondrial morphology protein 1 (Mitochondrial outer membrane protein MMM1) (Yeast mitochondrial escape protein 6)	MMM1, YME6, YLL006W, L1357
YKR080W	Q02046	Methylenetetrahydrofolate dehydrogenase [NAD(+)] (EC 1.5.1.15)	MTD1, YKR080W, YKR400
YNL032W	P53965	Inositol diphosphatase SIW14 (EC 3.6.1.52) (5-PP-InsP phosphatase) (Inositol pyrophosphate phosphatase SIW14) (Oxidant-induced cell-cycle arrest protein 3) (Synthetic interaction with WHI2 protein 14)	SIW14, OCA3, YNL032W, N2746
YBL028C	P38202	UPF0642 protein YBL028C	YBL028C, YBL0423
YPL202C	Q08957	Iron-regulated transcriptional activator AFT2 (Activator of iron transcription protein 2)	AFT2, YPL202C
YDR379C-A	Q3E785	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1)	SDH6, YDR379C-A, smORF139, smORF8
YDL064W	P50623	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (Ubiquitin carrier protein 9) (Ubiquitin-conjugating enzyme E2-18 kDa) (Ubiquitin-protein ligase)	UBC9, YDL064W
YHR107C	P32468	Cell division control protein 12 (Septin)	CDC12, CLA10, PSL7, YHR107C
YKL183W	P34234	Protein LOT5 (Low temperature-responsive protein 5)	LOT5, YKL183W
YLR120C	P32329	Aspartic proteinase 3 (EC 3.4.23.41) (Proprotein convertase) (Yapsin-1) [Cleaved into: Aspartic proteinase 3 subunit alpha; Aspartic proteinase 3 subunit beta]	YPS1, YAP3, YLR120C, L2961, L9233.9
YGL018C	P53193	J-type co-chaperone JAC1, mitochondrial (J-type accessory chaperone 1)	JAC1, SEO2, YGL018C
YLR372W	P40319	Fatty acid elongase 3 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELO3) (Affecting plasma membrane ATPase activity protein 1) (Elongation of fatty acids protein 3) (Suppressor of RAD3 essential function protein 1) (Suppressor of Rvs161 and Rvs167 mutations protein 4) (Very-long-chain 3-oxoacyl-CoA synthase 3) (v-SNARE bypass mutant gene 1 protein)	ELO3, APA1, SRE1, SUR4, VBM1, YLR372W, L8039.2
YDL153C	Q12136	Something about silencing protein 10 (U three protein 3) (U3 small nucleolar RNA-associated protein 3) (U3 snoRNA-associated protein 11)	SAS10, UTP3, YDL153C, D1545
YBR030W	P38222	Ribosomal lysine N-methyltransferase 3 (EC 2.1.1.-)	RKM3, YBR030W, YBR0314
YBL068W	P38063	Ribose-phosphate pyrophosphokinase 4 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 4)	PRS4, PRPS4, YBL068W, YBL0619
YKR057W	P0C0V8	Small ribosomal subunit protein eS21A (40S ribosomal protein S21-A) (S26) (YS25)	RPS21A, RPS25, RPS25A, RPS26A, YKR057W
YIL159W	P40450	BNI1-related protein 1	BNR1, YIL159W
YNL245C	P53854	Pre-mRNA-splicing factor CWC25 (Complexed with CEF1 protein 25)	CWC25, YNL245C, N0901
YBR193C	P38304	Mediator of RNA polymerase II transcription subunit 8 (Mediator complex subunit 8)	MED8, YBR193C, YBR1403
YCR083W	P25372	Thioredoxin-3, mitochondrial	TRX3, YCR083W, YCR83W
YNL169C	P39006	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	PSD1, YNL169C, N1692
YOR048C	Q02792	5'-3' exoribonuclease 2 (EC 3.1.13.-) (Ribonucleic acid-trafficking protein 1) (p116)	RAT1, HKE1, TAP1, YOR048C
YOR289W	Q12012	Uncharacterized protein YOR289W	YOR289W
YKR100C	P36169	Suppressor of lethality of KEX2 GAS1 double null mutant protein 1	SKG1, YKR100C, YKR099C-A
YDL170W	P26370	Transcriptional activator protein UGA3	UGA3, YDL170W
YHL023C	P38742	Nitrogen permease regulator 3 (Required for meiotic nuclear division protein 11)	NPR3, RMD11, YHL023C
YNR016C	Q00955	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACC1, ABP2, FAS3, MTR7, YNR016C, N3175
YKL042W	P36094	Spindle pole body component SPC42	SPC42, YKL042W, YKL255
YOR307C	P22215	Uncharacterized transporter SLY41	SLY41, YOR307C, O5663
YHR108W	P38817	ADP-ribosylation factor-binding protein GGA2 (Golgi-localized, gamma ear-containing, ARF-binding protein 2)	GGA2, YHR108W
YJR057W	P00572	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	CDC8, YJR057W, J1715
YKR048C	P25293	Nucleosome assembly protein	NAP1, YKR048C
YER057C	P40037	Protein HMF1 (High dosage growth inhibitor) (Homologous mitochondrial matrix factor 1)	HMF1, HIG1, YER057C
YGL181W	P40956	Protein GTS1 (Protein LSR1)	GTS1, LSR1, YGL181W
YPL020C	Q02724	Ubiquitin-like-specific protease 1 (EC 3.4.22.68)	ULP1, YPL020C, LPB11C
YGL255W	P32804	Zinc-regulated transporter 1 (High-affinity zinc transport protein ZRT1)	ZRT1, YGL255W, NRC376
YPL042C	P39073	Meiotic mRNA stability protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8) (Suppressor of RNA polymerase B SRB10)	SSN3, ARE1, CDK8, GIG2, SRB10, UME5, YPL042C
YNL138W-A	P0C074	RDS3 complex subunit 10 (Splicing factor 3b subunit)	YSF3, RCP10, YNL138W-A
YDR059C	P15732	Ubiquitin-conjugating enzyme E2-16 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 5) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	UBC5, YDR059C, D4234, YD9609.13C
YDL112W	Q07527	tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] ribose methylase) (tRNA methyltransferase 3)	TRM3, YDL112W
YPR074C	P23254	Transketolase 1 (TK 1) (EC 2.2.1.1)	TKL1, YPR074C, YP9499.29C
YNL022C	P53972	25S rRNA (cytosine(2278)-C(5))-methyltransferase (EC 2.1.1.311) (rRNA m(5)C methyltransferase 1)	RCM1, YNL022C, N2815
YDR083W	P38961	25S rRNA (adenine(645)-N(1))-methyltransferase (EC 2.1.1.287) (Ribosomal RNA-processing protein 8)	RRP8, YDR083W, D4461
YMR240C	Q02554	Cold sensitive U2 snRNA suppressor 1	CUS1, YMR240C, YM9408.02C
YOL113W	Q12469	Serine/threonine-protein kinase SKM1 (EC 2.7.11.1) (Protein kinase 75490 D)	SKM1, YOL113W, HRA655
YDL085W	Q07500	External NADH-ubiquinone oxidoreductase 2, mitochondrial (EC 1.6.5.9) (External NADH dehydrogenase 2)	NDE2, NDH2, YDL085W
YPR073C	P40347	Low molecular weight phosphotyrosine protein phosphatase (PTPase) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2)	LTP1, YPR073C, YP9499.28C
YBR285W	P38354	Putative uncharacterized protein YBR285W	YBR285W, YBR2023
YDR248C	Q03786	Probable gluconokinase (EC 2.7.1.12) (Gluconate kinase)	YDR248C
YOR020C	P38910	10 kDa heat shock protein, mitochondrial (HSP10) (10 kDa chaperonin)	HSP10, CPN10, YOR020C, OR26.10
YER018C	P40014	Kinetochore protein SPC25	SPC25, YER018C
YER053C-A	Q3E7B0	Uncharacterized protein YER053C-A	YER053C-A
YPL247C	Q12523	WD repeat-containing protein YPL247C	YPL247C
YER117W	P0CX42	Large ribosomal subunit protein uL14B (60S ribosomal protein L23-B) (L17a) (YL32)	RPL23B, RPL17AB, RPL17B, YER117W
YJL190C	P0C0W1	Small ribosomal subunit protein uS8A (40S ribosomal protein S22-A) (RP50) (S24) (YP58) (YS22)	RPS22A, RPS24, RPS24A, YJL190C, J0355
YIL147C	P39928	Osmosensing histidine protein kinase SLN1 (EC 2.7.13.3) (Osmolarity two-component system protein SLN1) (Tyrosine phosphatase-dependent protein 2)	SLN1, YPD2, YIL147C
YLR419W	Q06698	Putative ATP-dependent RNA helicase YLR419W (EC 3.6.4.13)	YLR419W
YCR082W	P25649	ADA histone acetyltransferase complex component 2 (Putative transcriptional regulator AHC2)	AHC2, YCR082W, YCR82W
YPL257W	Q08974	Uncharacterized membrane protein YPL257W	YPL257W
YPR057W	Q99177	Pre-mRNA-splicing factor BRR1 (Bad response to refrigeration protein 1)	BRR1, YPR057W, YP9499.13
YOL109W	Q08245	Protein ZEO1 (Zeocin resistance protein 1)	ZEO1, YOL109W, O0738
YJL095W	Q01389	Serine/threonine-protein kinase BCK1/SLK1/SSP31 (EC 2.7.11.1)	BCK1, LAS3, SLK1, SSP31, YJL095W, J0906
YDR173C	P07250	Inositol polyphosphate multikinase (IPMK) (EC 2.7.1.127) (EC 2.7.1.151) (Arginine metabolism regulation protein III) (GLE1 synthetic lethal protein 3) (Inositol polyphosphate kinase 2)	ARG82, ARGR3, GSL3, IPK2, YDR173C, YD9395.06C
YIL068C	P32844	Exocyst complex component SEC6	SEC6, YIL068C
